fid,OBJECTID,COUNTRY,CITIES,FUA_OR_CIT,CODE2012,ITEM2012,PROD_DATE,IDENT,AREA,Pop2012,fid_2,cat,value
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316797,529582,5
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316791,529581,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316795,529411,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316799,529259,7
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316800,529260,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316805,529412,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316806,529413,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316807,529583,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316517,529584,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316489,529414,7
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316487,529263,4
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316493,529585,5
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316511,529262,7
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316486,529265,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316506,529415,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316516,529264,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316512,529113,6
11,59708,IE,Dublin,IE001L1,"11220",Discontinuous medium density urban fabric (S.L. : 30% - 50%),"2018",59707-IE001L1,15948.389194400000633,"29",316814,529261,5
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316504,532152,7
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316514,532050,4
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316505,531933,6
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316699,533105,4
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316701,532952,4
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316703,532722,7
12,59878,IE,Dublin,IE001L1,"11230",Discontinuous low density urban fabric (S.L. : 10% - 30%),"2018",59877-IE001L1,16128.958128000000215,"11",316704,532836,6
13,59920,IE,Dublin,IE001L1,"32000","Herbaceous vegetation associations (natural grassland, moors...)","2018",59919-IE001L1,11879.551317199999176,"0",,,
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316686,534699,6
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316687,534569,6
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316688,534570,4
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316689,534281,4
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316692,534280,6
14,60070,IE,Dublin,IE001L1,"12100","Industrial, commercial, public, military and private units","2018",60069-IE001L1,3714.696263949999775,"1",316694,534129,6
15,59823,IE,Dublin,IE001L1,"11300",Isolated structures,"2018",59822-IE001L1,3438.216213669999888,"0",,,
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168871,492071,6
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168852,492934,6
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168848,493648,7
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168863,492715,4
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168846,494094,7
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168845,494354,6
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",168847,494355,7
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",169059,500261,6
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",169071,500467,7
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",246534,500684,7
16,57133,IE,Dublin,IE001L1,"23000",Pastures,"2018",57132-IE001L1,702486.227048999979161,"72",169120,494595,6
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156457,481245,4
17,56668,IE,Dublin,IE001L1,"12220",Other roads and associated land,"2018",56667-IE001L1,42865.787266899998940,"0",156489,482313,6
